time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443350000	0.1375	3.3218	0	0	0	lidar	0	0.1375	3.3218	-0.0165	3.0494	-0.0941	0.9956
1477010443750000	-0.15843	3.09463	-0.43764	2.60752e-16	-1.04685e-16	radar	0.174731	-0.136421	3.47803	-0.0821	3.4438	-0.2181	0.9759
1477010444150000	-0.153587	3.57346	-0.150021	0.0226802	-1.07269	lidar	2.44587	-0.1512	3.6688	-0.1966	3.8267	-0.3387	0.9409
1477010444550000	-0.333384	3.62573	-1.23735	-0.855315	-3.22608	radar	4.33922	-0.284266	3.80841	-0.3583	4.1923	-0.454	0.891
1477010444950000	-0.629595	4.22364	-2.47644	-2.12644	-2.52797	lidar	3.1491	-0.6276	4.343	-0.5645	4.5348	-0.5621	0.8271
1477010445350000	-0.758742	4.87598	-2.60208	-2.15224	-3.29175	radar	1.18345	-0.799019	5.00836	-0.8119	4.8487	-0.6613	0.7501
1477010445750000	-1.18312	5.14329	-0.919575	-2.93185	-2.98848	lidar	2.48081	-1.251	5.1349	-1.0968	5.1292	-0.7501	0.6613
1477010446150000	-1.29819	5.41124	-0.595716	-2.89828	-1.59888	radar	3.30476	-1.48039	5.74958	-1.4146	5.3717	-0.8271	0.5621
1477010446550000	-1.5607	5.83573	0.017551	-2.27793	-0.331988	lidar	2.08007	-1.5938	5.8955	-1.7602	5.5725	-0.891	0.454
1477010446950000	-2.04262	5.86186	0.835087	-2.09867	-0.1137	radar	5.84159	-2.32649	6.04293	-2.1283	5.7283	-0.9409	0.3387
1477010447350000	-2.4136	5.82055	1.05139	-3.5396	-0.718087	lidar	2.67018	-2.5158	5.8432	-2.5131	5.8368	-0.9759	0.2181
1477010447750000	-3.03944	5.65026	1.64579	-2.49703	0.499567	radar	1.89835	-3.17643	5.68933	-2.9084	5.8963	-0.9956	0.0941
1477010448150000	-3.43153	5.98455	1.0244	-3.48613	-0.377563	lidar	0.929028	-3.4203	6.0225	-3.308	5.9057	-0.9995	-0.0314
1477010448550000	-4.08877	6.39237	3.2968	-3.67267	-0.450343	radar	1.06176	-3.83956	6.2498	-3.7057	5.8649	-0.9877	-0.1564
1477010448950000	-3.95464	5.69788	1.95488	-3.24099	0.275236	lidar	0.678476	-3.9507	5.6854	-4.0951	5.7747	-0.9603	-0.279
1477010449350000	-4.42978	5.41019	1.85902	-2.19046	1.07881	radar	1.29189	-4.56399	5.50958	-4.4701	5.6363	-0.9178	-0.3971
1477010449750000	-4.56262	5.49517	0.923038	-2.10585	0.875015	lidar	0.654016	-4.5584	5.5229	-4.8248	5.4521	-0.8607	-0.509
1477010450150000	-4.87797	5.29174	0.747503	-2.24939	0.562718	radar	1.13865	-5.01361	5.30036	-5.1537	5.2248	-0.7902	-0.6129
1477010450550000	-5.41694	5.00506	1.39424	-2.42807	0.341813	lidar	1.15146	-5.4799	5.0149	-5.4515	4.9581	-0.7071	-0.7071
1477010450950000	-5.6045	4.49661	1.3632	-1.99976	0.523042	radar	1.03719	-5.44122	4.3588	-5.7134	4.6562	-0.6129	-0.7901
1477010451350000	-5.92025	4.13749	1.25177	-1.99283	0.416255	lidar	1.01692	-5.9914	4.1726	-5.9355	4.3238	-0.5091	-0.8607
1477010451750000	-6.02561	4.01715	0.312015	-1.9599	0.27651	radar	0.939432	-5.99189	4.06937	-6.1142	3.9662	-0.3972	-0.9177
1477010452150000	-6.16114	3.77769	0.646526	-1.88348	0.251543	lidar	0.116459	-6.1686	3.7639	-6.2467	3.589	-0.279	-0.9603
1477010452550000	-6.53119	3.03707	2.01069	-2.08155	0.0374448	radar	4.71144	-6.90976	2.9687	-6.3308	3.1983	-0.1564	-0.9877
1477010452950000	-6.44967	3.12222	0.085327	-1.93528	0.125858	lidar	4.21811	-6.4152	3.2171	-6.3653	2.8	-0.0314	-0.9995
1477010453350000	-6.59429	2.35904	2.04652	-1.67363	0.248827	radar	7.62328	-6.11181	2.07361	-6.3496	2.4006	0.0941	-0.9956
1477010453750000	-6.16824	1.91211	1.26558	-1.10899	0.581565	lidar	1.95783	-6.1024	1.9385	-6.284	2.0063	0.2181	-0.9759
1477010454150000	-6.20767	1.66194	1.02313	-1.10043	0.453005	radar	5.52875	-6.76894	1.82675	-6.1694	1.6233	0.3387	-0.9409
1477010454550000	-6.06321	1.45135	0.66582	-0.872357	0.49173	lidar	0.207036	-6.0748	1.4773	-6.0078	1.2577	0.454	-0.891
1477010454950000	-5.89538	1.16778	1.05245	-0.794262	0.417504	radar	0.900895	-6.11543	1.14883	-5.8016	0.9152	0.5621	-0.8271
1477010455350000	-5.70756	0.781814	1.11311	-0.868367	0.255311	lidar	0.46247	-5.7415	0.7453	-5.5541	0.6013	0.6613	-0.7501
1477010455750000	-5.37757	0.43315	1.30085	-0.763124	0.259661	radar	1.1353	-5.40053	0.11717	-5.2693	0.3208	0.7501	-0.6613
1477010456150000	-4.98725	-0.136967	1.71902	-0.777998	0.186251	lidar	0.250905	-4.967	-0.1526	-4.9515	0.0783	0.8271	-0.5621
1477010456550000	-4.53214	-0.159439	1.22881	-0.358755	0.476698	radar	2.01891	-4.62529	-0.110069	-4.6058	-0.1224	0.891	-0.454
1477010456950000	-4.21403	-0.384836	1.00713	-0.299527	0.392982	lidar	0.660933	-4.2617	-0.4339	-4.2377	-0.2783	0.9409	-0.3388
1477010457350000	-3.73247	-0.50092	1.03869	-0.155239	0.378085	radar	0.738202	-3.538	-0.493144	-3.853	-0.3868	0.9759	-0.2182
1477010457750000	-3.3224	-0.568104	1.10625	-0.0509849	0.341383	lidar	0.0389062	-3.3192	-0.5849	-3.4577	-0.4463	0.9956	-0.0941
1477010458150000	-3.17158	-0.5223	0.761173	0.135684	0.382876	radar	2.04088	-3.50871	-0.568727	-3.0581	-0.4557	0.9995	0.0314
1477010458550000	-2.8848	-0.388112	0.752682	0.426975	0.491128	lidar	0.512126	-2.8961	-0.3115	-2.6604	-0.4149	0.9877	0.1564
1477010458950000	-2.42968	-0.158158	1.42247	0.610832	0.481267	radar	1.22368	-2.37532	-0.28953	-2.271	-0.3247	0.9603	0.279
1477010459350000	-1.86012	-0.293121	1.23742	0.137094	0.0506523	lidar	1.84087	-1.8167	-0.3496	-1.896	-0.1863	0.9178	0.3971
1477010459750000	-1.39191	-0.180077	1.10446	0.206342	0.0875118	radar	1.5174	-1.32045	-0.0113466	-1.5412	-0.002	0.8608	0.509
1477010460150000	-1.29699	0.0450464	0.470224	0.464574	0.226962	lidar	1.07145	-1.3585	0.0588	-1.2124	0.2252	0.7902	0.6129
1477010460550000	-2.75338	-3.1341	-0.319001	-2.79796	-1.89729	radar	-18.3959	-1.10241	0.685014	-0.9146	0.4919	0.7071	0.7071
1477010460950000	-0.843423	0.533695	0.0406963	0.686875	0.258304	lidar	19.7143	-0.7688	0.612	-0.6526	0.7938	0.6129	0.7901
1477010461350000	-0.485767	0.968622	0.932654	1.20093	0.468142	radar	13.4269	-0.507885	1.3145	-0.4305	1.1262	0.5091	0.8607
1477010461750000	-0.216519	1.71071	2.60364	1.39962	0.491814	lidar	3.29352	-0.1907	1.8307	-0.2519	1.4838	0.3972	0.9177
1477010462150000	-0.106143	2.00841	1.64307	1.4731	0.43261	radar	7.48729	-0.0773452	1.44153	-0.1194	1.861	0.279	0.9603
1477010462550000	0.0679544	2.38173	1.09542	1.42953	0.230241	lidar	2.25657	0.1817	2.3247	-0.0353	2.2518	0.1565	0.9877
1477010462950000	0.0647112	2.7063	0.98701	1.56168	0.265605	radar	0.366047	0.05434	2.57543	-0.0008	2.65	0.0314	0.9995
1477010463350000	-0.0239495	3.17253	1.19903	1.79628	0.377843	lidar	0.505932	-0.0918	3.1917	0.0071	3.0498	0.0628	0.998
